,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
,6.582293711,6.552512524,4.808591209,6.303815974,5.776810597,3.713554963,5.772896415,8.39267716,8.702831208,6.611959185,5.776938698,5.723001629,8.29132061,9.146238458,4.010995954,4.323139959,7.107099425,6.820538244,6.155277107,5.832250859,5.169875276,4.526976017,7.894790869,6.594483305,6.541278198,8.218360544,10.01606095,3.370712187,3.850294001,2.807978055
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Praca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8.804331716,8.75908344,8.619686781,9.228571667,8.35182621,7.051249379,8.285185469,10.53854935,10.96379204,9.103093077,9.05804838,8.057693878,10.64991871,11.68584462,7.607727118,7.833026366,9.341807135,10.33852447,9.206087742,9.907636932,8.225553431,7.353651835,10.20543888,8.852004049,8.830543011,10.75382524,12.44301653,6.381650183,6.014934461,5.647871518
,8.813900315,8.755959509,8.57793263,9.225956601,8.366520058,7.035507127,8.297767719,10.53990291,10.96685256,9.107646852,9.064811352,8.094840487,10.66150496,11.68559223,7.640392367,7.856793123,9.362632182,10.3162317,9.200471737,9.901473726,8.209455068,7.354991051,10.25418488,8.862476496,8.837536046,10.75898519,12.45625532,6.406813977,6.064066564,5.659095381
,8.813677758,8.789996472,8.577403045,9.185221929,8.378890434,7.039529754,8.3009756,10.54907601,10.95738138,9.109101573,9.042225225,8.120721025,10.67162838,11.67099702,7.648544822,7.809867164,9.375091808,10.29477175,9.208634418,9.890525912,8.200985436,7.352221845,10.28934257,8.868652558,8.830543011,10.76896172,12.44396293,6.440922617,6.108716331,5.502596091
,8.811325168,8.790455395,8.579333088,9.179886731,8.374526254,7.054733728,8.306422776,10.52930592,10.94349921,9.125603606,9.044853867,8.126265994,10.68199434,11.64955206,7.657287991,7.829412386,9.369308003,10.2616134,9.209345978,9.791223149,8.171860819,7.382214592,10.31233091,8.854607841,8.824677891,10.76544272,12.43086284,6.44735499,6.134579557,5.655960342
,8.812875576,8.787526236,8.601941426,9.167277744,8.361245097,7.070056935,8.302736797,10.5285533,10.93103339,9.134397656,9.032328754,8.135432208,10.6939255,11.64642436,7.670190154,7.84234005,9.359105145,10.2526452,9.200106787,9.774492199,8.150185043,7.381082753,10.3354073,8.840449915,8.829079953,10.76365812,12.4256659,6.480686994,6.136864911,5.62937497
,8.822227096,8.780211857,8.641567435,9.174877222,8.357185694,7.075429248,8.309307642,10.54869056,10.9342135,9.14846699,9.024585568,8.162669076,10.69857938,11.64184625,7.665693449,7.855064718,9.349145335,10.26408768,9.202419484,9.76257182,8.176383441,7.392565621,10.36227931,8.848427448,8.849944227,10.77125874,12.43683113,6.498105929,6.157711768,5.659558868
,8.824006784,8.80444127,8.665167753,9.191046027,8.36758259,7.102248295,8.318595901,10.55181222,10.92908102,9.184184059,9.022104762,8.214841646,10.70030872,11.63938189,7.697913465,7.913098104,9.349754428,10.28278608,9.199053312,9.750995072,8.21044817,7.364669236,10.39190777,8.850798465,8.854236693,10.78381124,12.45210035,6.517486618,6.173865267,5.667222219
